r[m],EA[GN],EI1[MNm2],EI2[MNm2],GIv[MNm2],m[kg/m],XE[mm],Xm[mm],Xs[mm],v[deg],beta+v[deg]
1.8,36.0,12000,12000,7500,1700,0,0,0,0,0
3.0,6.14,1630,1725,362,330,2,2,0,5.4,14.4
4.5,5.82,1080,1940,328,389,54,159,11,0.94,9.44
6.0,5.10,623,1490,207,347,59,165,13,1.30,9.30
9.0,4.06,255,905,92.8,283,63,170,18,1.09,8.09
12.0,3.33,129,557,47.7,235,58,158,15,0.86,6.86
15.0,2.76,64.8,349,24.7,196,51,137,15,0.86,5.86
18.0,2.33,32.4,221,12.9,166,45,121,16,0.91,4.91
21.0,1.83,15.2,131,6.23,172,41,110,17,0.83,3.83
24.0,1.21,6.04,65.7,2.57,90.3,40,102,16,0.63,2.63
27.0,0.63,1.82,28.1,0.84,52.6,47,108,14,0.16,1.16
30.0,0.21,0.32,9.5,0.18,24.2,82,136,10,-0.52,-0.52
