Circle,
1,0
0.99,0.099498744
0.98,0.14
0.97,0.170587221
0.96,0.195959179
0.95,0.217944947
0.94,0.237486842
0.93,0.255147016
0.92,0.271293199
0.91,0.28618176
0.9,0.3
0.89,0.312889757
0.88,0.324961536
0.87,0.336303434
0.86,0.346987031
0.85,0.357071421
0.84,0.366606056
0.83,0.375632799
0.82,0.384187454
0.81,0.392300905
0.8,0.4
0.79,0.407308237
0.78,0.414246304
0.77,0.420832508
0.76,0.42708313
0.75,0.433012702
0.74,0.438634244
0.73,0.443959458
0.72,0.448998886
0.71,0.453762052
0.7,0.458257569
0.69,0.462493243
0.68,0.466476152
0.67,0.470212718
0.66,0.473708771
0.65,0.476969601
0.64,0.48
0.63,0.482804308
0.62,0.485386444
0.61,0.487749936
0.6,0.489897949
0.59,0.491833305
0.58,0.493558507
0.57,0.495075752
0.56,0.496386946
0.55,0.497493719
0.54,0.498397432
0.53,0.499099189
0.52,0.49959984
0.51,0.49989999
0.5,0.5
0.49,0.49989999
0.48,0.49959984
0.47,0.499099189
0.46,0.498397432
0.45,0.497493719
0.44,0.496386946
0.43,0.495075752
0.42,0.493558507
0.41,0.491833305
0.4,0.489897949
0.39,0.487749936
0.38,0.485386444
0.37,0.482804308
0.36,0.48
0.35,0.476969601
0.34,0.473708771
0.33,0.470212718
0.32,0.466476152
0.31,0.462493243
0.3,0.458257569
0.29,0.453762052
0.28,0.448998886
0.27,0.443959458
0.26,0.438634244
0.25,0.433012702
0.24,0.42708313
0.23,0.420832508
0.22,0.414246304
0.21,0.407308237
0.2,0.4
0.19,0.392300905
0.18,0.384187454
0.17,0.375632799
0.16,0.366606056
0.15,0.357071421
0.14,0.346987031
0.13,0.336303434
0.12,0.324961536
0.11,0.312889757
0.1,0.3
0.09,0.28618176
0.08,0.271293199
0.07,0.255147016
0.06,0.237486842
0.05,0.217944947
0.04,0.195959179
0.03,0.170587221
0.02,0.14
0.01,0.099498744
0,0
0.01,-0.099498744
0.02,-0.14
0.03,-0.170587221
0.04,-0.195959179
0.05,-0.217944947
0.06,-0.237486842
0.07,-0.255147016
0.08,-0.271293199
0.09,-0.28618176
0.1,-0.3
0.11,-0.312889757
0.12,-0.324961536
0.13,-0.336303434
0.14,-0.346987031
0.15,-0.357071421
0.16,-0.366606056
0.17,-0.375632799
0.18,-0.384187454
0.19,-0.392300905
0.2,-0.4
0.21,-0.407308237
0.22,-0.414246304
0.23,-0.420832508
0.24,-0.42708313
0.25,-0.433012702
0.26,-0.438634244
0.27,-0.443959458
0.28,-0.448998886
0.29,-0.453762052
0.3,-0.458257569
0.31,-0.462493243
0.32,-0.466476152
0.33,-0.470212718
0.34,-0.473708771
0.35,-0.476969601
0.36,-0.48
0.37,-0.482804308
0.38,-0.485386444
0.39,-0.487749936
0.4,-0.489897949
0.41,-0.491833305
0.42,-0.493558507
0.43,-0.495075752
0.44,-0.496386946
0.45,-0.497493719
0.46,-0.498397432
0.47,-0.499099189
0.48,-0.49959984
0.49,-0.49989999
0.5,-0.5
0.51,-0.49989999
0.52,-0.49959984
0.53,-0.499099189
0.54,-0.498397432
0.55,-0.497493719
0.56,-0.496386946
0.57,-0.495075752
0.58,-0.493558507
0.59,-0.491833305
0.6,-0.489897949
0.61,-0.487749936
0.62,-0.485386444
0.63,-0.482804308
0.64,-0.48
0.65,-0.476969601
0.66,-0.473708771
0.67,-0.470212718
0.68,-0.466476152
0.69,-0.462493243
0.7,-0.458257569
0.71,-0.453762052
0.72,-0.448998886
0.73,-0.443959458
0.74,-0.438634244
0.75,-0.433012702
0.76,-0.42708313
0.77,-0.420832508
0.78,-0.414246304
0.79,-0.407308237
0.8,-0.4
0.81,-0.392300905
0.82,-0.384187454
0.83,-0.375632799
0.84,-0.366606056
0.85,-0.357071421
0.86,-0.346987031
0.87,-0.336303434
0.88,-0.324961536
0.89,-0.312889757
0.9,-0.3
0.91,-0.28618176
0.92,-0.271293199
0.93,-0.255147016
0.94,-0.237486842
0.95,-0.217944947
0.96,-0.195959179
0.97,-0.170587221
0.98,-0.14
0.99,-0.099498744
1,0
