 ++++++++++++++++++++++++++++++++++++++++++++++++

 NREL-PhaseVI                  
     ***** XTurb-PSU  -  CIRCULATION *****
   Blade Number      BN =  2

   Solidity
   0.0519
  +    BLADE ELEMENT MOMENTUM THEORY (BEMT)   +

  PREDICTION
       VWIND [m/s] RPM [1/min]   PITCH [deg]
       7.0000      72.0000       3.0000

   Number   TSR      PITCH [deg]
        1   5.4179   3.0000

   CT       CP       CPV      CB       CBV
   0.4979  -0.3495   0.0299  -0.1717  -0.0011

  +++++ Extrema of Gamma vs. Radius +++++
   Max/Min       r/R        Gamma
     Max         0.6250     0.1787

   r/R    Gamma   dGamma/dr d2Gamma/dr2 d3Gamma/dr3 
 ---------------------------------------------------
 0.2500   0.0000    3.1085   -40.1446     -150.1031
 0.2750   0.0777    2.1049   -43.8972      198.8558
 0.3000   0.1052    0.9136   -30.2018      683.3547
 0.3250   0.1234    0.5948    -9.7294      503.0508
 0.3500   0.1350    0.4271    -5.0493      126.2814
 0.3750   0.1447    0.3423    -3.4154       50.8084
 0.4000   0.1521    0.2564    -2.5088       41.2751
 0.4250   0.1576    0.2169    -1.3516       25.0530
 0.4500   0.1629    0.1888    -1.2562        4.0108
 0.4750   0.1670    0.1541    -1.1511        5.5010
 0.5000   0.1706    0.1312    -0.9811        2.6102
 0.5250   0.1736    0.1050    -1.0206       -4.4846
 0.5500   0.1759    0.0802    -1.2054       -2.6931
 0.5750   0.1776    0.0447    -1.1552        9.9652
 0.6000   0.1781    0.0225    -0.7071        9.0515
 0.6250   0.1787    0.0094    -0.7026       -7.0336
 0.6500   0.1786   -0.0127    -1.0588      -15.0130
 0.6750   0.1781   -0.0436    -1.4533       -3.7326
 0.7000   0.1764   -0.0853    -1.2454       17.3997
 0.7250   0.1738   -0.1058    -0.5833       16.9678
 0.7500   0.1711   -0.1145    -0.3970        3.4065
 0.7750   0.1681   -0.1257    -0.4130       -2.5381
 0.8000   0.1648   -0.1352    -0.5239       -7.8361
 0.8250   0.1613   -0.1519    -0.8048      -12.0446
 0.8500   0.1572   -0.1754    -1.1262      -17.6416
 0.8750   0.1525   -0.2082    -1.6869      -36.1423
 0.9000   0.1468   -0.2597    -2.9333      -99.7883
 0.9250   0.1396   -0.3549    -6.6763     -832.1510
 0.9500   0.1291   -0.5936   -44.5408    -1387.1861
 0.9750   0.1099   -2.5819   -76.0356     -559.9314
 1.0000   0.0000   -4.3953   -72.5374      139.9274
 ++++++++++++++++++++++++++++++++++++++++++++++++

 NREL-PhaseVI                  
     ***** XTurb-PSU  -  CIRCULATION *****
   Blade Number      BN =  2

   Solidity
   0.0519
  +    BLADE ELEMENT MOMENTUM THEORY (BEMT)   +

  PREDICTION
       VWIND [m/s] RPM [1/min]   PITCH [deg]
       7.0000      72.0000       3.0000

   Number   TSR      PITCH [deg]
        2   5.4179   3.0000

   CT       CP       CPV      CB       CBV
   0.4979  -0.3495   0.0299  -0.1717  -0.0011

  +++++ Extrema of Gamma vs. Radius +++++
   Max/Min       r/R        Gamma
     Max         0.6250     0.1787

   r/R    Gamma   dGamma/dr d2Gamma/dr2 d3Gamma/dr3 
 ---------------------------------------------------
 0.2500   0.0000    3.1085   -40.1446     -150.1031
 0.2750   0.0777    2.1049   -43.8972      198.8558
 0.3000   0.1052    0.9136   -30.2018      683.3547
 0.3250   0.1234    0.5948    -9.7294      503.0508
 0.3500   0.1350    0.4271    -5.0493      126.2814
 0.3750   0.1447    0.3423    -3.4154       50.8084
 0.4000   0.1521    0.2564    -2.5088       41.2751
 0.4250   0.1576    0.2169    -1.3516       25.0530
 0.4500   0.1629    0.1888    -1.2562        4.0108
 0.4750   0.1670    0.1541    -1.1511        5.5010
 0.5000   0.1706    0.1312    -0.9811        2.6102
 0.5250   0.1736    0.1050    -1.0206       -4.4846
 0.5500   0.1759    0.0802    -1.2054       -2.6931
 0.5750   0.1776    0.0447    -1.1552        9.9652
 0.6000   0.1781    0.0225    -0.7071        9.0515
 0.6250   0.1787    0.0094    -0.7026       -7.0336
 0.6500   0.1786   -0.0127    -1.0588      -15.0130
 0.6750   0.1781   -0.0436    -1.4533       -3.7326
 0.7000   0.1764   -0.0853    -1.2454       17.3997
 0.7250   0.1738   -0.1058    -0.5833       16.9678
 0.7500   0.1711   -0.1145    -0.3970        3.4065
 0.7750   0.1681   -0.1257    -0.4130       -2.5381
 0.8000   0.1648   -0.1352    -0.5239       -7.8361
 0.8250   0.1613   -0.1519    -0.8048      -12.0446
 0.8500   0.1572   -0.1754    -1.1262      -17.6416
 0.8750   0.1525   -0.2082    -1.6869      -36.1423
 0.9000   0.1468   -0.2597    -2.9333      -99.7883
 0.9250   0.1396   -0.3549    -6.6763     -832.1510
 0.9500   0.1291   -0.5936   -44.5408    -1387.1861
 0.9750   0.1099   -2.5819   -76.0356     -559.9314
 1.0000   0.0000   -4.3953   -72.5374      139.9274
